"KEY","Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
"CAPA_4.7n_0402_100_10%_X7S","Dipoles_SMD:C_0402","https://product.tdk.com/info/en/catalog/spec/mlccspec_commercial_general_midvoltage_en.pdf","TDK","C1005X7S2A472K050BB","445-6026","http://www.digikey.com/product-detail/en/C1005X7S2A472K050BB/445-6026-1-ND/2444067","_","_"
"CAPA_10n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X7R1C103K050BA","445-1262","http://www.digikey.com/product-detail/en/C1005X7R1C103K050BA/445-1262-1-ND/567728","_","_"
"CAPA_10n_0402_16_10%_X7R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X7R1C103K050BA","445-1262","http://www.digikey.com/product-detail/en/C1005X7R1C103K050BA/445-1262-1-ND/567728","_","_"
"CAPA_22n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R1E223K050BA","445-7388","http://www.digikey.com/product-detail/en/C1005X5R1E223K050BA/445-7388-2-ND/2732823","_","_"
"CAPA_22n_0402_25_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R1E223K050BA","445-7388","http://www.digikey.com/product-detail/en/C1005X5R1E223K050BA/445-7388-2-ND/2732823","_","_"
"CAPA_33n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R1E333K050BA","445-7389","http://www.digikey.com/product-detail/en/C1005X5R1E333K050BA/445-7389-2-ND/2732824","_","_"
"CAPA_33n_0402_25_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R1E333K050BA","445-7389","http://www.digikey.com/product-detail/en/C1005X5R1E333K050BA/445-7389-2-ND/2732824","_","_"
"CAPA_47n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R1E473K050BA","445-4960","http://www.digikey.com/product-detail/en/C1005X5R1E473K050BA/445-4960-1-ND/2093574","_","_"
"CAPA_47n_0402_25_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R1E473K050BA","445-4960","http://www.digikey.com/product-detail/en/C1005X5R1E473K050BA/445-4960-1-ND/2093574","_","_"
"CAPA_68n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R1A683K050BA","445-4982","http://www.digikey.com/product-detail/en/C1005X5R1A683K050BA/445-4982-2-ND/2093250","_","_"
"CAPA_68n_0402_10_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R1A683K050BA","445-4982","http://www.digikey.com/product-detail/en/C1005X5R1A683K050BA/445-4982-2-ND/2093250","_","_"
"CAPA_100n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J104K050BA","445-1266","http://www.digikey.com/product-detail/en/C1005X5R0J104K050BA/445-1266-1-ND/567731","_","_"
"CAPA_100n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J104K050BA","445-1266","http://www.digikey.com/product-detail/en/C1005X5R0J104K050BA/445-1266-1-ND/567731","_","_"
"CAPA_0.1u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J104K050BA","445-1266","http://www.digikey.com/product-detail/en/C1005X5R0J104K050BA/445-1266-1-ND/567731","_","_"
"CAPA_0.1u_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J104K050BA","445-1266","http://www.digikey.com/product-detail/en/C1005X5R0J104K050BA/445-1266-1-ND/567731","_","_"
"CAPA_100000p_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J104K050BA","445-1266","http://www.digikey.com/product-detail/en/C1005X5R0J104K050BA/445-1266-1-ND/567731","_","_"
"CAPA_100000p_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J104K050BA","445-1266","http://www.digikey.com/product-detail/en/C1005X5R0J104K050BA/445-1266-1-ND/567731","_","_"
"CAPA_150n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J154K050BB","445-13813","http://www.digikey.com/product-detail/en/C1005X5R0J154K050BB/445-13813-1-ND/3955479","_","_"
