# KEY," Footprint","Datasheet","MFN","MFP","DigiPN","DigiPL","MouserPN","MouserPL"
CAPA_1500n_0402,"Capacitors_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J155K050BB","445-13815","http://www.digikey.com/product-detail/en/C1005X5R0J155K050BB/445-13815-1-ND/3955481","_","_"
CAPA_1.5u_0402,"Capacitors_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J155K050BB","445-13815","http://www.digikey.com/product-detail/en/C1005X5R0J155K050BB/445-13815-1-ND/3955481","_","_"
CAPA_2200n_0402,"Capacitors_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J225K050BC","445-6847","http://www.digikey.com/product-detail/en/C1005X5R0J225K050BC/445-6847-1-ND/2619209","_","_"
CAPA_2.2u_0402,"Capacitors_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J225K050BC","445-6847","http://www.digikey.com/product-detail/en/C1005X5R0J225K050BC/445-6847-1-ND/2619209","_","_"
CAPA_3300n_0402,"Capacitors_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J335K050BC","445-5946","http://www.digikey.com/product-detail/en/C1005X5R0J335K050BC/445-5946-1-ND/2443986","_","_"
CAPA_3.3u_0402,"Capacitors_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J335K050BC","445-5946","http://www.digikey.com/product-detail/en/C1005X5R0J335K050BC/445-5946-1-ND/2443986","_","_"
CAPA_4700n_0402,"Capacitors_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J475K050BC","445-5947","http://www.digikey.com/product-detail/en/C1005X5R0J475K050BC/445-5947-1-ND/2443987","_","_"
CAPA_4.7u_0402,"Capacitors_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J475K050BC","445-5947","http://www.digikey.com/product-detail/en/C1005X5R0J475K050BC/445-5947-1-ND/2443987","_","_"
CAPA_10u_0603,"Capacitors_SMD:C_0805","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1608JB0J106K080AB","445-11185","http://www.digikey.com/product-detail/en/C1608JB0J106K080AB/445-11185-1-ND/3952851","_","_"
CAPA_22u_0805,"Capacitors_SMD:C_0805","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C2012X5R1A226K125AB","445-7664","http://www.digikey.com/product-detail/en/C2012X5R1A226K125AB/445-7664-1-ND/2733736","_","_"
CAPA_47u_0805,"Capacitors_SMD:C_0805","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C2012JB1A476M125AC","445-11420","http://www.digikey.com/product-detail/en/C2012JB1A476M125AC/445-11420-1-ND/3953086","_","_"
RES_1_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R00FKED","541-1.00LLCT","http://www.digikey.com/product-detail/en/CRCW04021R00FKED/541-1.00LLCT-ND/1961882","_","_"
RES_1.0_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R00FKED","541-1.00LLCT","http://www.digikey.com/product-detail/en/CRCW04021R00FKED/541-1.00LLCT-ND/1961882","_","_"
RES_1.1_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R10FKED","541-1.10LLCT","http://www.digikey.com/product-detail/en/CRCW04021R10FKED/541-1.10LLCT-ND/1961886","_","_"
RES_1.2_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R20FKED","541-1.20LLCT","http://www.digikey.com/product-detail/en/CRCW04021R20FKED/541-1.20LLCT-ND/1961890","_","_"
RES_1.3_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R30FKED","541-1.30LLCT","http://www.digikey.com/product-detail/en/CRCW04021R30FKED/541-1.30LLCT-ND/1961894","_","_"
