KEY,"Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
RES_24_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040224R0FKED","541-24.0LCT","http://www.digikey.com/product-detail/en/CRCW040224R0FKED/541-24.0LCT-ND/1182936","_","_"
RES_27_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040227R0FKED","541-27.0LCT","http://www.digikey.com/product-detail/en/CRCW040227R0FKED/541-27.0LCT-ND/1182942","_","_"
RES_30_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040230R0FKED","541-30.0LCT","http://www.digikey.com/product-detail/en/CRCW040230R0FKED/541-30.0LCT-ND/1182947","_","_"
RES_30.0_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040230R0FKED","541-30.0LCT","http://www.digikey.com/product-detail/en/CRCW040230R0FKED/541-30.0LCT-ND/1182947","_","_"
RES_33_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040233R0FKED","541-33.0LCT","http://www.digikey.com/product-detail/en/CRCW040233R0FKED/541-33.0LCT-ND/1182952","_","_"
RES_36_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040236R0FKED","541-36.0LCT","http://www.digikey.com/product-detail/en/CRCW040236R0FKED/541-36.0LCT-ND/1182957","_","_"
RES_39_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040239R0FKED","541-39.0LCT","http://www.digikey.com/product-detail/en/CRCW040239R0FKED/541-39.0LCT-ND/1182961","_","_"
RES_43_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040243R0FKED","541-43.0LCT","http://www.digikey.com/product-detail/en/CRCW040243R0FKED/541-43.0LCT-ND/1182966","_","_"
RES_47_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040247R0FKED","541-47.0LCT","http://www.digikey.com/product-detail/en/CRCW040247R0FKED/541-47.0LCT-ND/1182971","_","_"
RES_51_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040251R0FKED","541-51.0LCT","http://www.digikey.com/product-detail/en/CRCW040251R0FKED/541-51.0LCT-ND/1182975","_","_"
RES_49.9_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040249R9FKED","541-49.9L","http://www.digikey.com/product-detail/en/CRCW040249R9FKED/541-49.9LCT-ND/1182974","_","_"
RES_56_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040256R0FKED","541-56.0LCT","http://www.digikey.com/product-detail/en/CRCW040256R0FKED/541-56.0LCT-ND/1182980","_","_"
RES_62_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040262R0FKED","541-62.0LCT","http://www.digikey.com/product-detail/en/CRCW040262R0FKED/541-62.0LCT-ND/1182986","_","_"
RES_68_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040268R0FKED","541-68.0LCT","http://www.digikey.com/product-detail/en/CRCW040268R0FKED/541-68.0LCT-ND/1182990","_","_"
RES_75_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040275R0FKED","541-75.0LCT","http://www.digikey.com/product-detail/en/CRCW040275R0FKED/541-75.0LCT-ND/1182995","_","_"
RES_82_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040282R0FKED","541-82.0LCT","http://www.digikey.com/product-detail/en/CRCW040282R0FKED/541-82.0LCT-ND/1182999","_","_"
RES_91_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040291R0FKED","541-91.0LCT","http://www.digikey.com/product-detail/en/CRCW040291R0FKED/541-91.0LCT-ND/1183005","_","_"
