KEY,"Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
BEAD_220_0603_100M_500m,"Dipoles_SMD:R_0603","http://product.tdk.com/en/catalog/datasheets/beads_commercial_signal_mmz1608_en.pdf","TDK","MMZ1608B221CTAH0","445-8673","http://www.digikey.com/product-detail/en/MMZ1608B221CTAH0/445-8673-1-ND/3078568","_","_",
BEAD_600_0603_100M_1,"Dipoles_SMD:R_0603","http://product.tdk.com/en/catalog/datasheets/beads_commercial_power_mpz_en.pdf","TDK","MPZ1608S601ATA00","445-2205","http://www.digikey.com/product-detail/en/MPZ1608S601ATA00/445-2205-1-ND/765103","_","_",
