KEY,"Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
DIOD_GREEN_0603_2.1___20m,"LEDs:LED-0603","http://www.kingbrightusa.com/images/catalog/SPEC/APT1608CGCK.pdf","Kingbright","APT1608CGCK","754-1116","http://www.digikey.com/product-detail/en/APT1608CGCK/754-1116-1-ND/1747833","_","_"
DIOD_GREEN_0603______,"LEDs:LED-0603","http://www.kingbrightusa.com/images/catalog/SPEC/APT1608CGCK.pdf","Kingbright","APT1608CGCK","754-1116","http://www.digikey.com/product-detail/en/APT1608CGCK/754-1116-1-ND/1747833","_","_"
DIOD_RED_0603_1.95___20m,"LEDs:LED-0603","http://www.kingbrightusa.com/images/catalog/SPEC/APT1608SURCK.pdf","Kingbright","APT1608SURCK","754-1123","http://www.digikey.com/product-detail/en/APT1608SURCK/754-1123-1-ND/1747840","_","_"
DIOD_RED_0603______,"LEDs:LED-0603","http://www.kingbrightusa.com/images/catalog/SPEC/APT1608SURCK.pdf","Kingbright","APT1608SURCK","754-1123","http://www.digikey.com/product-detail/en/APT1608SURCK/754-1123-1-ND/1747840","_","_"
