KEY,"Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
IC_CYUSB3014_BGA121,"BGA:BGA121C80P11X11_1000X1000X110","http://www.cypress.com/file/140296/download","Cypress","CYUSB3014-BZXC","428-3182","http://www.digikey.com/product-detail/en/CYUSB3014-BZXC/428-3182-ND/3679585","727-CYUSB3014-BZXC","http://www.mouser.fr/ProductDetail/Cypress-Semiconductor/CYUSB3014-BZXC/?qs=xP2cAaN2A3Wt%252bQariFLwRg%3d%3d"
IC_IC10pins_10-UFDFN,"UFDFN:10-UFDFN","http://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp3010_datasheet.pdf.pdf","Littelfuse Inc","SP3010-04UTG","F3507","http://www.digikey.com/product-detail/en/SP3010-04UTG/F3507CT-ND/2297266","_","_"
IC_SP3010-04UTG-UFDFN,"UFDFN:10-UFDFN","http://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp3010_datasheet.pdf.pdf","Littelfuse Inc","SP3010-04UTG","F3507","http://www.digikey.com/product-detail/en/SP3010-04UTG/F3507CT-ND/2297266","_","_"
IC_T9V034_48CLCC,"ONSemi:CLCC48_0.8mm","https://www.aptina.com/assets/downloadDocument.do?id=741","ONSemi","MT9V034C12STC","","http://components.arrow.com/part/detail/89235619S8276228N4468?region","_","_"
IC_W25Q32FV_,"Housing_WSON:WSON6x5mm","http://www.winbond.com/resource-files/w25q32fv%20revh%20091613.pdf","Winbond","W25Q32FVZPIG","W25Q32FVZPIG","http://www.digikey.com/product-detail/en/W25Q32FVZPIG/W25Q32FVZPIG-ND/3008633","_","_"
IC_ECP545_BGA381,"BGA:BGA381C80P20X20_1700X1700X176","http://www.latticesemi.com/view_document?document_id=50461","Lattice","LFE5U-45F-6BG381C","220-1988","http://www.digikey.com/product-detail/en/LFE5U-45F-6BG381C/220-1988-ND/5250564","_","_"
IC_8y-19.200MAAE_,"Oscillator:8y","http://www.txccrystal.com/images/pdf/8y.pdf","TXC","8Y-19.200MAAE-T","887-2388","http://www.digikey.com/product-detail/en/8Y-19.200MAAE-T/887-2388-1-ND/4475406","_","_"
IC_8y-19.200MAAE__,"Oscillator:8y","http://www.txccrystal.com/images/pdf/8y.pdf","TXC","8Y-19.200MAAE-T","887-2388","http://www.digikey.com/product-detail/en/8Y-19.200MAAE-T/887-2388-1-ND/4475406","_","_"
IC_M24M02_SO8,"Housings_SO8:SO8_50mil","http://www.st.com/web/en/resource/technical/document/datasheet/CD00290537.pdf","STMicroelectronics","M24M02-DRMN6TP","497-11600","http://www.digikey.com/product-detail/en/M24M02-DRMN6TP/497-11600-1-ND/2747126","_","_"
IC_DSC1004_2x2-5mm,"Oscillator:DSC1004_2x2-5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/DSC1004%20Datasheet%20MKQBPD08301002-4.pdf","Microchip","DSC1004DI2-072.0000","576-4990","http://www.digikey.com/product-detail/en/DSC1004DI2-072.0000/576-4990-5-ND/5284036","_","_"
IC_KC3225A__,"Oscillator:KC3225A","www.kyocera-crystal.jp/eng/wp-content/uploads/2014/09/kc3225a_c2_e.pdf","AVX","KC3225A100.000C20E00","478-6145","http://www.digikey.com/product-detail/en/KC3225A100.000C20E00/478-6145-1-ND/2344263","_","_"
IC_LSM6DS3__,"Housings_LGA:LGA14_2.5X3X0.86","http://www.st.com/web/en/resource/technical/document/datasheet/DM00133076.pdf","STMicroelectronics","LSM6DS3TR","497-15383","http://www.digikey.com/product-detail/en/LSM6DS3TR/497-15383-1-ND/5180534","_","_"
IC_MT41K128M16_BGA96,"BGA:WBGA96C80P6X16_80X1400X110","http://www.micron.com/~/media/documents/products/data-sheet/dram/ddr3/2gb_1_35v_ddr3l.pdf","Micron","MT41K128M16JT-125:K","MT41K128M16JT-125:K","https://www.arrow.com/en/products/mt41k128m16jt-125ktr/micron-technology","_","_"
IC_SC186_UFDFN6,"UFDFN:6-UFDFN(2x2)","http://www.semtech.com/images/datasheet/sc189.pdf","Semtech","SC189CULTRT","SC189CUL","http://www.digikey.com/product-detail/en/SC189CULTRT/SC189CULCT-ND/2182355","_","_"
